REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1306407,2,11/05/2023,1758,3,1,1,1,1,1,1,36,3,9,9,0,0,0,0,0,0,0,0
1306546,1,10/05/2023,1400,6,1,1,1,1,3,2,39,3,9,0,0,0,0,0,0,0,0,0
1306813,1,12/05/2023,2040,6,1,4,1,1,3,1,80,2,8,0,0,0,0,0,0,0,0,0
1306840,2,12/05/2023,2332,6,1,4,1,1,1,1,34,2,9,1,0,0,0,0,0,0,0,0
1306900,2,13/05/2023,605,3,1,1,1,1,1,1,64,2,9,9,0,0,0,0,0,0,0,0
1306902,2,12/05/2023,1910,4,1,1,1,1,1,1,46,3,9,1,0,0,0,0,0,0,0,0
1306944,2,13/05/2023,1205,3,1,1,1,1,1,1,54,3,9,1,0,0,0,0,0,0,0,0
1306960,3,13/05/2023,1423,6,1,1,1,1,1,1,58,2,9,9,9,0,0,0,0,0,0,0
1307030,3,13/05/2023,1700,3,1,1,1,1,1,2,42,3,9,9,9,0,0,0,0,0,0,0
1307030,3,13/05/2023,1700,3,1,1,1,2,1,2,51,3,9,9,9,0,0,0,0,0,0,0
1307038,2,13/05/2023,2040,6,1,7,1,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1307038,2,13/05/2023,2040,6,1,7,1,2,1,1,23,2,9,9,0,0,0,0,0,0,0,0
1307057,2,13/05/2023,2320,3,1,4,1,1,2,2,56,2,9,9,0,0,0,0,0,0,0,0
1307090,1,14/05/2023,604,4,1,4,1,1,1,2,20,3,9,0,0,0,0,0,0,0,0,0
1307161,3,14/05/2023,813,6,1,1,1,1,1,1,42,3,9,9,9,0,0,0,0,0,0,0
1307161,3,14/05/2023,813,6,1,1,1,2,1,1,48,3,9,9,9,0,0,0,0,0,0,0
1307241,1,14/05/2023,2237,3,1,4,1,1,3,1,18,3,9,0,0,0,0,0,0,0,0,0
1307244,2,14/05/2023,2248,6,1,4,1,1,1,1,29,3,9,20,0,0,0,0,0,0,0,0
1307360,1,15/05/2023,1005,6,1,1,1,1,3,2,30,2,9,0,0,0,0,0,0,0,0,0
1307372,1,15/05/2023,830,6,1,1,1,1,3,1,11,3,9,0,0,0,0,0,0,0,0,0
1307616,1,15/05/2023,1210,4,2,1,1,1,2,2,65,2,11,0,0,0,0,0,0,0,0,0
1307663,1,15/05/2023,1746,6,1,1,1,1,3,2,45,3,11,0,0,0,0,0,0,0,0,0
1307683,3,15/05/2023,2017,3,2,1,2,1,1,1,37,3,9,9,9,0,0,0,0,0,0,0
1307683,3,15/05/2023,2017,3,2,1,2,2,2,1,4,2,9,9,9,0,0,0,0,0,0,0
1307916,2,15/05/2023,1622,6,1,1,1,1,1,1,26,3,9,1,0,0,0,0,0,0,0,0
1307959,1,16/05/2023,750,3,1,1,1,1,3,1,12,3,9,0,0,0,0,0,0,0,0,0
1307986,2,15/05/2023,1402,3,1,1,1,1,1,2,27,3,9,19,0,0,0,0,0,0,0,0
1308002,2,15/05/2023,1847,1,1,1,1,1,1,1,35,3,19,9,0,0,0,0,0,0,0,0
1308066,3,15/05/2023,817,3,1,1,1,1,1,2,51,3,19,9,9,0,0,0,0,0,0,0
1308066,3,15/05/2023,817,3,1,1,1,2,2,2,28,3,19,9,9,0,0,0,0,0,0,0
1308066,3,15/05/2023,817,3,1,1,1,3,1,1,25,3,19,9,9,0,0,0,0,0,0,0
1308066,3,15/05/2023,817,3,1,1,1,4,2,1,4,3,19,9,9,0,0,0,0,0,0,0
1308115,2,16/05/2023,1635,3,1,1,1,1,1,1,27,3,9,23,0,0,0,0,0,0,0,0
1308119,1,16/05/2023,1656,6,1,1,1,1,3,1,11,3,9,0,0,0,0,0,0,0,0,0
1308236,1,17/05/2023,831,6,1,1,1,1,1,2,36,3,9,0,0,0,0,0,0,0,0,0
1308594,1,17/05/2023,1853,6,1,1,1,1,3,2,23,3,9,0,0,0,0,0,0,0,0,0
1308813,2,17/05/2023,1042,3,1,1,1,1,2,1,28,3,19,21,0,0,0,0,0,0,0,0
1308813,2,17/05/2023,1042,3,1,1,1,2,1,1,37,3,19,21,0,0,0,0,0,0,0,0
1308951,2,18/05/2023,1459,6,1,1,1,1,1,2,41,3,9,9,0,0,0,0,0,0,0,0
1308995,1,18/05/2023,1134,3,1,1,1,1,3,1,20,3,9,0,0,0,0,0,0,0,0,0
1309311,2,28/04/2023,1400,6,1,1,9,1,1,2,35,3,9,9,0,0,0,0,0,0,0,0
1309360,2,19/05/2023,1646,3,1,1,1,1,1,1,14,2,21,1,0,0,0,0,0,0,0,0
1309369,2,18/05/2023,1645,3,1,1,1,1,1,2,29,3,9,1,0,0,0,0,0,0,0,0
1309444,2,19/05/2023,840,6,2,1,1,1,1,2,57,3,9,1,0,0,0,0,0,0,0,0
1309702,2,19/05/2023,2230,6,1,4,1,1,1,1,21,3,9,9,0,0,0,0,0,0,0,0
1309702,2,19/05/2023,2230,6,1,4,1,2,2,1,25,3,9,9,0,0,0,0,0,0,0,0
1309702,2,19/05/2023,2230,6,1,4,1,3,2,2,52,3,9,9,0,0,0,0,0,0,0,0
1309796,2,21/05/2023,1540,6,1,1,1,1,1,2,42,3,5,9,0,0,0,0,0,0,0,0
1309796,2,21/05/2023,1540,6,1,1,1,2,1,1,25,2,5,9,0,0,0,0,0,0,0,0
1309896,2,22/05/2023,715,4,1,1,1,1,1,1,32,2,9,9,0,0,0,0,0,0,0,0
1309897,2,22/05/2023,833,6,1,1,1,1,1,1,78,3,9,9,0,0,0,0,0,0,0,0
1310173,2,22/05/2023,730,3,1,1,9,1,1,1,76,3,9,1,0,0,0,0,0,0,0,0
1310187,2,22/05/2023,1400,1,1,1,1,1,1,1,56,3,9,9,0,0,0,0,0,0,0,0
1310209,2,22/05/2023,705,3,1,1,1,1,1,2,38,3,9,9,0,0,0,0,0,0,0,0
1310627,2,23/05/2023,1030,3,1,1,1,1,1,1,35,3,9,9,0,0,0,0,0,0,0,0
1310627,2,23/05/2023,1030,3,1,1,1,2,2,2,30,3,9,9,0,0,0,0,0,0,0,0
1310829,2,24/05/2023,717,1,1,1,1,1,1,1,77,3,20,9,0,0,0,0,0,0,0,0
1310884,2,24/05/2023,921,3,1,1,1,1,2,1,11,3,9,9,0,0,0,0,0,0,0,0
1310909,1,23/05/2023,1735,3,1,1,1,1,3,2,13,3,3,0,0,0,0,0,0,0,0,0
1310912,2,24/05/2023,830,6,1,1,1,1,1,1,28,2,1,9,0,0,0,0,0,0,0,0
1311183,2,24/05/2023,2344,6,1,4,1,1,1,1,34,3,9,9,0,0,0,0,0,0,0,0
1311186,2,25/05/2023,205,3,1,4,1,1,2,1,22,2,9,9,0,0,0,0,0,0,0,0
1311186,2,25/05/2023,205,3,1,4,1,2,1,2,18,3,9,9,0,0,0,0,0,0,0,0
1311264,1,25/05/2023,625,3,1,1,1,1,1,1,62,3,9,0,0,0,0,0,0,0,0,0
1311264,1,25/05/2023,625,3,1,1,1,2,2,2,58,3,9,0,0,0,0,0,0,0,0,0
1311340,2,24/05/2023,1230,6,1,1,1,1,1,1,47,3,9,1,0,0,0,0,0,0,0,0
1311440,1,24/05/2023,1655,6,1,1,1,1,3,1,25,3,9,0,0,0,0,0,0,0,0,0
1311622,3,26/05/2023,425,3,1,1,1,1,2,1,31,3,9,9,9,0,0,0,0,0,0,0
1311622,3,26/05/2023,425,3,1,1,1,2,2,1,34,3,9,9,9,0,0,0,0,0,0,0
1311622,3,26/05/2023,425,3,1,1,1,3,1,1,61,3,9,9,9,0,0,0,0,0,0,0
1311798,2,25/05/2023,1940,4,1,1,1,1,2,2,21,3,9,9,0,0,0,0,0,0,0,0
1311800,1,25/05/2023,1523,6,1,1,1,1,3,1,12,2,9,0,0,0,0,0,0,0,0,0
1311828,2,25/05/2023,1345,6,1,1,1,1,1,2,52,3,98,9,0,0,0,0,0,0,0,0
1311833,2,26/05/2023,1305,6,1,1,1,1,3,2,38,3,9,9,0,0,0,0,0,0,0,0
1311833,2,26/05/2023,1305,6,1,1,1,2,2,1,-1,3,9,9,0,0,0,0,0,0,0,0
1311861,1,26/05/2023,1330,6,1,1,1,1,3,1,34,3,9,0,0,0,0,0,0,0,0,0
1311890,2,26/05/2023,1640,6,1,1,1,1,1,1,65,3,1,9,0,0,0,0,0,0,0,0
1311890,2,26/05/2023,1640,6,1,1,1,2,1,2,28,3,1,9,0,0,0,0,0,0,0,0
1311910,2,25/05/2023,705,6,1,1,1,1,1,1,55,3,9,1,0,0,0,0,0,0,0,0
1311976,2,27/05/2023,20,3,1,4,1,1,1,1,44,3,9,9,0,0,0,0,0,0,0,0
1311976,2,27/05/2023,20,3,1,4,1,2,2,1,20,3,9,9,0,0,0,0,0,0,0,0
1311985,6,26/05/2023,2325,3,1,4,1,1,1,1,35,3,9,9,9,9,9,9,0,0,0,0
1311985,6,26/05/2023,2325,3,1,4,1,2,2,1,36,3,9,9,9,9,9,9,0,0,0,0
1311985,6,26/05/2023,2325,3,1,4,1,3,1,1,35,3,9,9,9,9,9,9,0,0,0,0
1311985,6,26/05/2023,2325,3,1,4,1,4,2,2,28,3,9,9,9,9,9,9,0,0,0,0
1312206,2,27/05/2023,1620,1,1,1,1,1,1,2,32,2,21,9,0,0,0,0,0,0,0,0
1312206,2,27/05/2023,1620,1,1,1,1,2,2,2,-1,3,21,9,0,0,0,0,0,0,0,0
1312280,2,27/05/2023,1300,3,1,1,1,1,1,1,34,3,9,1,0,0,0,0,0,0,0,0
1312298,2,27/05/2023,350,2,1,4,1,1,1,1,38,3,9,9,0,0,0,0,0,0,0,0
1312298,2,27/05/2023,350,2,1,4,1,2,2,2,39,3,9,9,0,0,0,0,0,0,0,0
1312305,2,27/05/2023,1231,6,1,1,1,1,1,1,39,3,9,9,0,0,0,0,0,0,0,0
1312305,2,27/05/2023,1231,6,1,1,1,2,2,2,41,3,9,9,0,0,0,0,0,0,0,0
1312305,2,27/05/2023,1231,6,1,1,1,3,2,1,18,3,9,9,0,0,0,0,0,0,0,0
1312305,2,27/05/2023,1231,6,1,1,1,4,2,1,16,3,9,9,0,0,0,0,0,0,0,0
1312305,2,27/05/2023,1231,6,1,1,1,5,2,1,14,3,9,9,0,0,0,0,0,0,0,0
1312318,2,27/05/2023,1045,6,1,1,1,1,1,2,75,3,9,9,0,0,0,0,0,0,0,0
1312318,2,27/05/2023,1045,6,1,1,1,2,2,1,90,3,9,9,0,0,0,0,0,0,0,0
1312337,1,28/05/2023,1158,6,1,1,1,1,3,2,7,2,9,0,0,0,0,0,0,0,0,0
1312367,2,28/05/2023,1100,6,1,1,1,1,1,1,24,2,9,1,0,0,0,0,0,0,0,0
1312379,2,28/05/2023,1517,3,1,1,1,1,1,1,27,3,1,9,0,0,0,0,0,0,0,0
1312410,2,28/05/2023,924,6,1,1,1,1,1,1,49,2,9,4,0,0,0,0,0,0,0,0
1312412,1,28/05/2023,1600,6,1,1,1,1,1,1,26,2,4,0,0,0,0,0,0,0,0,0
1312413,1,28/05/2023,1922,6,1,1,1,1,3,1,8,3,9,0,0,0,0,0,0,0,0,0
1312514,2,23/05/2023,1712,6,1,1,1,1,1,1,27,3,9,1,0,0,0,0,0,0,0,0
1312526,2,27/05/2023,1544,6,1,1,1,1,1,1,54,3,9,1,0,0,0,0,0,0,0,0
1312599,3,29/05/2023,1812,2,1,1,1,1,1,1,35,3,9,9,9,0,0,0,0,0,0,0
1312635,1,30/05/2023,46,6,1,4,1,1,2,2,17,3,9,0,0,0,0,0,0,0,0,0
1312706,2,30/05/2023,720,6,1,1,1,1,1,1,33,3,19,1,0,0,0,0,0,0,0,0
1312875,1,29/05/2023,1930,3,1,1,1,1,3,1,27,3,9,0,0,0,0,0,0,0,0,0
1313041,1,19/05/2023,825,6,1,1,1,1,3,2,59,3,9,0,0,0,0,0,0,0,0,0
1313100,2,31/05/2023,331,3,1,4,1,1,1,1,30,3,9,1,0,0,0,0,0,0,0,0
1313473,4,31/05/2023,1500,3,1,1,1,1,1,2,71,2,9,9,9,9,0,0,0,0,0,0
1313473,4,31/05/2023,1500,3,1,1,1,2,2,1,10,2,9,9,9,9,0,0,0,0,0,0
1313473,4,31/05/2023,1500,3,1,1,1,3,2,1,7,2,9,9,9,9,0,0,0,0,0,0
1313474,3,31/05/2023,1527,6,1,1,1,1,2,1,15,2,3,9,9,0,0,0,0,0,0,0
1313483,1,31/05/2023,1400,6,1,1,1,1,3,1,27,3,9,0,0,0,0,0,0,0,0,0
1313499,2,31/05/2023,1805,6,1,1,1,1,1,1,19,3,1,9,0,0,0,0,0,0,0,0
1313547,3,31/05/2023,2230,6,1,4,1,1,2,1,28,3,9,9,9,0,0,0,0,0,0,0
1313547,3,31/05/2023,2230,6,1,4,1,2,1,2,26,3,9,9,9,0,0,0,0,0,0,0
1313547,3,31/05/2023,2230,6,1,4,1,3,2,2,57,3,9,9,9,0,0,0,0,0,0,0
1313708,2,01/06/2023,1020,3,1,1,1,1,1,1,33,3,9,19,0,0,0,0,0,0,0,0
1313708,2,01/06/2023,1020,3,1,1,1,2,1,1,71,3,9,19,0,0,0,0,0,0,0,0
1313878,2,01/06/2023,1407,3,1,1,1,1,1,1,18,2,9,97,0,0,0,0,0,0,0,0
1313954,2,01/06/2023,1708,6,1,1,1,1,1,1,44,3,9,9,0,0,0,0,0,0,0,0
1313968,2,01/06/2023,1915,6,1,1,1,1,1,2,23,2,9,9,0,0,0,0,0,0,0,0
1313968,2,01/06/2023,1915,6,1,1,1,2,1,1,37,2,9,9,0,0,0,0,0,0,0,0
1313978,2,01/06/2023,1737,3,1,1,1,1,1,2,30,3,9,9,0,0,0,0,0,0,0,0
1314174,2,01/06/2023,1138,1,1,1,1,1,1,2,52,3,98,9,0,0,0,0,0,0,0,0
1314288,2,02/06/2023,1600,2,1,1,1,1,1,2,59,3,19,9,0,0,0,0,0,0,0,0
1314288,2,02/06/2023,1600,2,1,1,1,2,2,1,60,3,19,9,0,0,0,0,0,0,0,0
1314288,2,02/06/2023,1600,2,1,1,1,3,1,1,48,3,19,9,0,0,0,0,0,0,0,0
1314321,1,21/05/2023,1630,6,1,1,9,1,2,2,2,3,9,0,0,0,0,0,0,0,0,0
1314335,2,02/06/2023,1716,6,1,1,1,1,1,1,18,2,3,9,0,0,0,0,0,0,0,0
1314346,2,02/06/2023,1916,6,1,1,1,1,1,1,23,2,9,9,0,0,0,0,0,0,0,0
1314354,2,02/06/2023,1755,6,1,1,8,1,1,2,31,3,9,11,0,0,0,0,0,0,0,0
1314369,1,03/06/2023,27,6,2,6,1,1,1,1,22,3,9,0,0,0,0,0,0,0,0,0
1314369,1,03/06/2023,27,6,2,6,1,2,2,2,20,3,9,0,0,0,0,0,0,0,0,0
1314369,1,03/06/2023,27,6,2,6,1,3,2,1,20,3,9,0,0,0,0,0,0,0,0,0
1314369,1,03/06/2023,27,6,2,6,1,4,2,1,19,3,9,0,0,0,0,0,0,0,0,0
1314406,1,03/06/2023,555,6,1,1,1,1,1,1,38,2,5,0,0,0,0,0,0,0,0,0
1314438,1,03/06/2023,646,6,1,1,1,1,3,1,41,2,90,0,0,0,0,0,0,0,0,0
1314465,1,03/06/2023,1020,6,1,1,1,1,2,2,73,2,9,0,0,0,0,0,0,0,0,0
1314532,1,03/06/2023,1410,6,1,1,1,1,3,2,5,2,9,0,0,0,0,0,0,0,0,0
1314536,3,03/06/2023,1121,3,1,1,1,1,1,2,48,3,20,9,9,0,0,0,0,0,0,0
1314536,3,03/06/2023,1121,3,1,1,1,2,2,2,59,3,20,9,9,0,0,0,0,0,0,0
1314536,3,03/06/2023,1121,3,1,1,1,3,2,1,32,3,20,9,9,0,0,0,0,0,0,0
1314536,3,03/06/2023,1121,3,1,1,1,4,2,2,8,3,20,9,9,0,0,0,0,0,0,0
1314536,3,03/06/2023,1121,3,1,1,1,5,1,1,51,2,20,9,9,0,0,0,0,0,0,0
1314645,2,04/06/2023,112,3,1,4,8,1,1,1,66,3,9,9,0,0,0,0,0,0,0,0
1314652,1,04/06/2023,42,3,1,4,1,1,1,1,45,3,5,0,0,0,0,0,0,0,0,0
1314678,2,03/06/2023,1120,3,1,1,1,1,1,1,71,3,9,1,0,0,0,0,0,0,0,0
1314801,2,25/05/2023,1705,6,1,1,1,1,1,1,22,2,5,1,0,0,0,0,0,0,0,0
1315161,2,05/06/2023,1556,6,1,1,1,1,2,2,16,2,9,9,0,0,0,0,0,0,0,0
1315564,2,05/06/2023,1700,6,1,1,1,1,1,1,43,2,9,90,0,0,0,0,0,0,0,0
1315642,3,06/06/2023,1257,1,1,1,1,1,2,1,67,3,19,9,9,0,0,0,0,0,0,0
1315671,2,06/06/2023,2016,6,1,1,1,1,1,1,28,3,9,3,0,0,0,0,0,0,0,0
1315831,1,06/06/2023,1310,6,1,1,1,1,1,1,34,2,1,0,0,0,0,0,0,0,0,0
1316053,4,07/06/2023,1605,6,1,1,1,1,1,1,31,3,9,9,9,9,0,0,0,0,0,0
1316053,4,07/06/2023,1605,6,1,1,1,2,2,2,69,3,9,9,9,9,0,0,0,0,0,0
1316073,2,07/06/2023,1844,6,1,1,1,1,2,1,53,3,9,5,0,0,0,0,0,0,0,0
1316073,2,07/06/2023,1844,6,1,1,1,2,1,1,56,3,9,5,0,0,0,0,0,0,0,0
1316077,1,07/06/2023,1630,6,1,1,1,1,1,1,10,3,90,0,0,0,0,0,0,0,0,0
1316081,2,07/06/2023,1556,6,1,1,1,1,3,1,51,3,9,9,0,0,0,0,0,0,0,0
1316081,2,07/06/2023,1556,6,1,1,1,2,3,2,3,3,9,9,0,0,0,0,0,0,0,0
1316148,1,08/06/2023,226,6,1,4,1,1,1,1,19,2,9,0,0,0,0,0,0,0,0,0
1316263,3,08/06/2023,842,3,1,1,1,1,1,2,46,3,9,9,19,0,0,0,0,0,0,0
1316263,3,08/06/2023,842,3,1,1,1,2,1,2,31,3,9,9,19,0,0,0,0,0,0,0
1316494,2,08/06/2023,1605,6,1,1,1,1,1,1,28,3,9,9,0,0,0,0,0,0,0,0
1316494,2,08/06/2023,1605,6,1,1,1,2,1,1,47,3,9,9,0,0,0,0,0,0,0,0
1316494,2,08/06/2023,1605,6,1,1,1,3,2,1,17,3,9,9,0,0,0,0,0,0,0,0
1316599,2,08/06/2023,2225,1,1,4,1,1,1,1,23,3,9,9,0,0,0,0,0,0,0,0
1316880,2,07/06/2023,1634,6,1,1,1,1,3,2,11,3,9,11,0,0,0,0,0,0,0,0
1316896,3,09/06/2023,1553,6,1,1,1,1,1,1,44,3,9,9,9,0,0,0,0,0,0,0
1316896,3,09/06/2023,1553,6,1,1,1,2,1,1,84,2,9,9,9,0,0,0,0,0,0,0
1316896,3,09/06/2023,1553,6,1,1,1,3,2,2,79,2,9,9,9,0,0,0,0,0,0,0
1316896,3,09/06/2023,1553,6,1,1,1,4,1,2,88,2,9,9,9,0,0,0,0,0,0,0
1317025,1,10/06/2023,1035,6,1,1,1,1,1,1,76,3,9,0,0,0,0,0,0,0,0,0
1317035,1,09/06/2023,845,6,1,1,1,1,3,1,24,3,9,0,0,0,0,0,0,0,0,0
1373249,2,10/11/2023,2215,3,2,4,1,1,1,1,32,2,19,9,0,0,0,0,0,0,0,0
1373314,2,10/11/2023,1800,3,1,4,1,1,2,2,38,3,9,9,0,0,0,0,0,0,0,0
1373364,2,10/11/2023,1342,3,1,1,1,1,2,2,30,3,9,5,0,0,0,0,0,0,0,0
1373374,1,11/11/2023,1330,6,1,1,1,1,1,1,29,3,19,0,0,0,0,0,0,0,0,0
1373404,1,10/11/2023,1530,6,1,1,1,1,3,2,14,2,9,0,0,0,0,0,0,0,0,0
1373425,2,09/11/2023,1152,6,1,1,1,1,1,2,47,3,9,9,0,0,0,0,0,0,0,0
1373470,3,11/11/2023,1901,6,2,4,1,1,1,1,38,2,23,19,9,0,0,0,0,0,0,0
1373511,2,12/11/2023,20,6,2,4,1,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1373558,1,11/11/2023,1530,3,1,1,1,1,3,1,16,3,9,0,0,0,0,0,0,0,0,0
1373561,2,12/11/2023,1026,3,1,1,1,1,1,2,54,3,9,9,0,0,0,0,0,0,0,0
1373575,1,11/11/2023,1950,6,1,7,1,1,3,2,14,3,9,0,0,0,0,0,0,0,0,0
1373710,3,09/11/2023,1637,4,2,1,2,1,2,2,17,3,9,97,98,0,0,0,0,0,0,0
1373710,3,09/11/2023,1637,4,2,1,2,2,2,1,17,2,9,97,98,0,0,0,0,0,0,0
1373710,3,09/11/2023,1637,4,2,1,2,3,2,2,82,3,9,97,98,0,0,0,0,0,0,0
1373710,3,09/11/2023,1637,4,2,1,2,4,1,1,25,3,9,97,98,0,0,0,0,0,0,0
1373710,3,09/11/2023,1637,4,2,1,2,5,1,1,85,3,9,97,98,0,0,0,0,0,0,0
1373721,2,12/11/2023,1637,6,2,4,5,1,1,3,32,3,9,1,0,0,0,0,0,0,0,0
1373757,1,12/11/2023,1645,6,1,4,1,1,3,1,16,3,9,0,0,0,0,0,0,0,0,0
1373766,2,13/11/2023,557,3,2,4,5,1,1,1,24,2,9,98,0,0,0,0,0,0,0,0
1373862,2,13/11/2023,835,6,2,7,2,1,1,1,44,2,9,9,0,0,0,0,0,0,0,0
1374137,1,13/11/2023,1050,6,1,1,1,1,3,2,57,3,11,0,0,0,0,0,0,0,0,0
1374138,4,13/11/2023,1800,1,2,4,5,1,1,1,54,3,9,98,9,9,0,0,0,0,0,0
1374138,4,13/11/2023,1800,1,2,4,5,2,1,1,55,3,9,98,9,9,0,0,0,0,0,0
1374599,2,14/11/2023,1420,1,2,1,2,1,1,2,47,3,9,9,0,0,0,0,0,0,0,0
1374655,2,14/11/2023,2300,6,2,4,2,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1375004,3,03/11/2023,1845,6,1,4,1,1,1,1,36,3,9,9,11,0,0,0,0,0,0,0
1375029,3,15/11/2023,1302,3,1,1,1,1,1,2,51,3,20,9,9,0,0,0,0,0,0,0
1375061,5,15/11/2023,1730,1,2,4,2,1,1,1,25,3,9,9,19,9,9,0,0,0,0,0
1375061,5,15/11/2023,1730,1,2,4,2,2,2,2,13,3,9,9,19,9,9,0,0,0,0,0
1375095,3,15/11/2023,1723,6,2,4,2,1,2,2,25,3,9,9,9,0,0,0,0,0,0,0
1375123,2,15/11/2023,1835,6,2,4,2,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1375123,2,15/11/2023,1835,6,2,4,2,2,2,2,28,3,9,9,0,0,0,0,0,0,0,0
1375123,2,15/11/2023,1835,6,2,4,2,3,2,2,31,3,9,9,0,0,0,0,0,0,0,0
1375260,2,15/11/2023,1457,2,1,1,4,1,1,2,33,3,19,1,0,0,0,0,0,0,0,0
1375348,2,14/11/2023,1500,6,1,1,1,1,2,2,34,3,9,11,0,0,0,0,0,0,0,0
1375449,2,16/11/2023,1635,1,2,4,1,1,1,1,41,3,9,9,0,0,0,0,0,0,0,0
1375456,1,16/11/2023,1744,3,2,4,1,1,1,1,38,2,9,0,0,0,0,0,0,0,0,0
1375456,1,16/11/2023,1744,3,2,4,1,2,2,2,2,3,9,0,0,0,0,0,0,0,0,0
1375488,1,16/11/2023,1701,4,2,4,1,1,3,2,71,3,9,0,0,0,0,0,0,0,0,0
1375655,2,15/11/2023,132,6,2,4,1,1,1,1,49,3,9,9,0,0,0,0,0,0,0,0
1375662,1,17/11/2023,1000,3,2,1,1,1,1,2,21,3,9,0,0,0,0,0,0,0,0,0
1375679,2,16/11/2023,1730,6,2,4,2,1,1,2,23,3,9,9,0,0,0,0,0,0,0,0
1375816,2,17/11/2023,1235,3,1,1,1,1,2,1,58,2,98,90,0,0,0,0,0,0,0,0
1375823,3,17/11/2023,1330,3,1,1,1,1,1,1,79,2,9,19,9,0,0,0,0,0,0,0
1375826,1,17/11/2023,1340,3,1,1,1,1,1,1,60,2,4,0,0,0,0,0,0,0,0,0
1375902,2,17/11/2023,1951,6,1,4,1,1,1,2,28,3,9,9,0,0,0,0,0,0,0,0
1375902,2,17/11/2023,1951,6,1,4,1,2,2,2,5,2,9,9,0,0,0,0,0,0,0,0
1375910,1,17/11/2023,2050,6,1,4,1,1,1,1,24,3,5,0,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,1,1,1,27,3,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,2,2,1,27,3,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,3,1,1,20,3,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,4,2,1,26,2,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,5,2,1,20,3,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,6,2,2,26,3,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,7,2,2,24,2,9,9,0,0,0,0,0,0,0,0
1375943,2,18/11/2023,100,6,2,4,2,8,2,1,20,2,9,9,0,0,0,0,0,0,0,0
1375959,1,18/11/2023,431,3,2,4,2,1,1,1,47,3,9,0,0,0,0,0,0,0,0,0
1375959,1,18/11/2023,431,3,2,4,2,2,2,1,49,3,9,0,0,0,0,0,0,0,0,0
1375995,2,18/11/2023,855,3,2,1,2,1,1,2,32,3,9,9,0,0,0,0,0,0,0,0
1375995,2,18/11/2023,855,3,2,1,2,2,1,2,44,3,9,9,0,0,0,0,0,0,0,0
1376044,2,18/11/2023,1121,6,2,1,1,1,1,1,39,3,9,9,0,0,0,0,0,0,0,0
1376049,2,17/11/2023,1750,6,2,4,2,1,1,2,34,3,98,9,0,0,0,0,0,0,0,0
1376049,2,17/11/2023,1750,6,2,4,2,2,2,2,10,3,98,9,0,0,0,0,0,0,0,0
1376060,2,18/11/2023,1110,6,1,1,1,1,2,1,34,3,9,9,0,0,0,0,0,0,0,0
1376094,1,18/11/2023,1452,1,2,1,1,1,2,1,20,3,9,0,0,0,0,0,0,0,0,0
1376124,1,16/11/2023,1115,3,2,1,2,1,3,2,62,3,9,0,0,0,0,0,0,0,0,0
1376157,5,18/11/2023,1958,6,2,4,1,1,1,1,29,3,9,9,9,9,9,0,0,0,0,0
1376420,2,20/11/2023,128,3,2,4,1,1,1,1,35,3,9,9,0,0,0,0,0,0,0,0
1376762,2,19/11/2023,1800,4,2,4,1,1,1,2,20,3,1,9,0,0,0,0,0,0,0,0
1376762,2,19/11/2023,1800,4,2,4,1,2,2,2,20,3,1,9,0,0,0,0,0,0,0,0
1376826,1,20/11/2023,1748,3,1,5,2,1,3,2,13,3,9,0,0,0,0,0,0,0,0,0
1376827,1,20/11/2023,1508,3,2,1,2,1,3,1,62,1,9,0,0,0,0,0,0,0,0,0
1376827,1,20/11/2023,1508,3,2,1,2,2,3,2,47,3,9,0,0,0,0,0,0,0,0,0
1376827,1,20/11/2023,1508,3,2,1,2,3,3,2,54,3,9,0,0,0,0,0,0,0,0,0
1376850,1,20/11/2023,1700,6,2,4,2,1,3,1,44,3,9,0,0,0,0,0,0,0,0,0
1376861,2,20/11/2023,2004,6,2,4,2,1,1,1,17,2,9,9,0,0,0,0,0,0,0,0
1377034,2,19/11/2023,1615,6,2,4,2,1,1,2,10,3,9,1,0,0,0,0,0,0,0,0
